WKT,設置場所,利用時間
"POINT (138.2236152 36.6541971)",屋外公衆電話,終日利用可
"POINT (138.2237286 36.65744050000001)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2237258 36.6594028)",屋外公衆電話,終日利用可
"POINT (138.1967702 36.654418)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1858182 36.6527769)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1849431 36.6517097)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1872605 36.6501345)",屋外公衆電話,終日利用可
"POINT (138.1869659 36.6492119)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1852951 36.6495159)",屋外公衆電話,終日利用可
"POINT (138.1825496 36.6547104)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1381738 36.5773816)",公衆電話(車いす可),終日利用可
"POINT (138.1382489 36.5775022)",屋内公衆電話,終日利用可
"POINT (138.1399548 36.5773902)",屋外公衆電話,終日利用可
"POINT (138.1368852 36.5784391)",屋外公衆電話,終日利用可
"POINT (138.1423977 36.5792958)",屋外公衆電話,終日利用可
"POINT (138.1751977 36.5851487)",屋外公衆電話,終日利用可
"POINT (138.1803997 36.585275)",屋外公衆電話,終日利用可
"POINT (138.1241842 36.6189328)",屋外公衆電話,終日利用可
"POINT (138.1475269 36.6235606)",屋外公衆電話,終日利用可
"POINT (138.1516092 36.5816227)",屋外公衆電話,終日利用可
"POINT (138.1345152 36.5607542)",屋外公衆電話
,終日利用可
"POINT (138.1867827 36.5896918)",屋外公衆電話,終日利用可
"POINT (138.1310771 36.5783628)",屋内公衆電話,利用不可時間帯あり
"POINT (138.138721 36.573776)",屋外公衆電話,終日利用可
"POINT (138.1316055 36.5768345)",屋内公衆電話,利用不可時間帯あり
"POINT (138.0953349 36.6169656)",屋外公衆電話,終日利用可
"POINT (138.1070532 36.6204927)",屋外公衆電話
,終日利用可
"POINT (138.0524939 36.5841314)",屋外公衆電話,終日利用可
"POINT (138.04235 36.5717151)",屋外公衆電話,終日利用可
"POINT (138.0675726 36.57074120000001)",屋内公衆電話,利用不可時間帯あり
"POINT (138.0820789 36.6089179)",屋外公衆電話,終日利用可
"POINT (138.0211587 36.57314349999999)",屋内公衆電話,利用不可時間帯あり
