WKT,名前,男子トイレ,女子トイレ,多機能トイレ
小便器：２,手洗：１
洋式：１
和式：１,１か所
"POINT (138.0967255 36.7039732)",中村公衆トイレ,※男女兼用
手洗：１
和式：１
小便器：１,,１か所
"POINT (138.0794311 36.6877752)",折橋公衆トイレ,手洗：１
小便器：１,なし,１か所
"POINT (138.1066117 36.6931594)",銚子口公衆トイレ,※男女兼用
手洗：１
洋式：１
小便器：１,,なし
"POINT (138.0761909 36.7313686)",宝光社,手洗：１
小便器：１,なし,１か所
"POINT (138.0487641 36.6721972)",追通(おっかよう）公衆トイレ,※男女兼用
手洗：１
和式：１
洋式：１,,なし
"POINT (138.0812231 36.670494)",土合公衆トイレ,手洗：１
和式：１
小便器：１,手洗：１
和式：１,なし
"POINT (138.0938708 36.67031)",下内,手洗：１
洋式：１
小便器：１,手洗：１
洋式：２,１か所
"POINT (138.0557846 36.6698816)",上祖山公衆トイレ,手洗：１
小便器：１,なし,１か所
"POINT (138.0049807 36.6825808)",須田町公衆トイレ,手洗：１
和式：１
小便器：２,手洗：１
和式：２,なし
"POINT (137.9783449 36.4870377)",大岡芦ノ尻,※男女兼用
手洗：１
和式：１
小便器：１,,なし
"POINT (137.965497 36.5353449)",川口バス停公衆トイレ,※男女兼用
手洗：１
和式：１,,なし
"POINT (138.0035346 36.6372084)",高福寺公衆トイレ,手洗：１
小便器：２,手洗：１
洋式：１
和式：１,１か所
"POINT (138.2346198 36.660129)",トイレ,,,
